real_name,par1,par2
gen=0_member=0,0.438363,2.86699
gen=0_member=1,0.00421403,1.51467
gen=0_member=2,0.775812,0.516293
gen=0_member=3,1.52681,4.18824
gen=0_member=4,0.390467,3.70783
gen=0_member=5,2.34958,1.52379
gen=0_member=6,2.40887,2.58772
gen=0_member=7,2.08152,4.47653
gen=0_member=8,0.873526,4.4139
gen=0_member=9,2.9625,3.96799
gen=0_member=10,2.13124,0.222263
gen=0_member=11,1.17043,2.98896
gen=0_member=12,1.1328,0.730518
gen=0_member=13,0.0447349,3.08441
gen=0_member=14,2.75109,2.00164
gen=0_member=15,1.31309,2.89582
gen=0_member=16,0.0137167,3.13004
gen=0_member=17,0.110417,0.574078
gen=0_member=18,1.21281,2.01586
gen=0_member=19,1.77361,3.15741
gen=0_member=20,1.35678,4.14895
gen=0_member=21,0.3966,2.90589
gen=0_member=22,0.366809,4.07189
gen=0_member=23,0.0418202,0.570746
gen=0_member=24,1.03283,0.882607
gen=0_member=25,1.46223,1.98856
gen=0_member=26,0.709866,0.47774
gen=0_member=27,2.03715,0.922652
gen=0_member=28,2.70809,3.94827
gen=0_member=29,1.70162,3.51984
gen=0_member=30,0.193338,1.73292
gen=0_member=31,1.76461,4.07423
gen=0_member=32,0.736556,0.867041
gen=0_member=33,0.441566,4.68186
gen=0_member=34,1.29778,2.42099
gen=0_member=35,1.28492,1.56389
gen=0_member=36,1.48912,2.37346
gen=0_member=37,0.374909,0.723451
gen=0_member=38,0.328744,4.17573
gen=0_member=39,1.60117,2.77088
gen=0_member=40,0.928943,1.59839
gen=0_member=41,0.532399,4.64267
gen=0_member=42,2.46089,0.623105
gen=0_member=43,2.1736,4.54265
gen=0_member=44,1.16896,4.50836
gen=0_member=45,1.53759,4.26165
gen=0_member=46,1.75394,3.88252
gen=0_member=47,0.605387,3.63373
gen=0_member=48,0.839831,3.13564
gen=0_member=49,1.55784,1.63429
gen=0_member=50,1.62278,3.01684
gen=0_member=51,1.92459,1.06095
gen=0_member=52,0.201669,2.33686
gen=0_member=53,2.82464,1.34916
gen=0_member=54,2.22062,0.593453
gen=0_member=55,0.175988,1.87754
gen=0_member=56,0.810062,3.32736
gen=0_member=57,2.44789,2.21671
gen=0_member=58,2.17875,2.15058
gen=0_member=59,2.25004,3.29704
gen=0_member=60,2.08684,0.169575
gen=0_member=61,0.815481,2.64712
gen=0_member=62,0.338867,4.33459
gen=0_member=63,0.935288,1.53464
gen=0_member=64,0.97636,3.97698
gen=0_member=65,2.31232,0.616851
gen=0_member=66,2.52618,4.92073
gen=0_member=67,2.79054,4.95055
gen=0_member=68,1.07332,3.17617
gen=0_member=69,2.89115,3.1752
gen=0_member=70,0.652923,4.73568
gen=0_member=71,0.418752,0.849492
gen=0_member=72,0.926089,1.55466
gen=0_member=73,0.208591,2.8666
gen=0_member=74,2.99152,1.25007
gen=0_member=75,2.36303,1.83462
gen=0_member=76,2.39392,3.30388
gen=0_member=77,1.10833,2.22826
gen=0_member=78,1.49653,2.72123
gen=0_member=79,0.955191,0.0966542
gen=0_member=80,2.73382,4.62879
gen=0_member=81,1.15165,4.75653
gen=0_member=82,0.92595,1.96855
gen=0_member=83,2.90372,4.33646
gen=0_member=84,2.02785,3.53693
gen=0_member=85,2.67776,3.60209
gen=0_member=86,1.78764,0.686436
gen=0_member=87,0.208731,4.31512
gen=0_member=88,0.405878,0.363542
gen=0_member=89,0.815003,1.17753
gen=0_member=90,1.08175,4.85038
gen=0_member=91,2.88836,2.89164
gen=0_member=92,0.352247,3.67587
gen=0_member=93,0.78911,1.71609
gen=0_member=94,0.71153,4.70738
gen=0_member=95,0.670476,4.57892
gen=0_member=96,0.718651,0.593335
gen=0_member=97,0.602093,3.66771
gen=0_member=98,1.30186,3.97571
gen=0_member=99,0.177749,2.8438
