real_name,sim
gen=0_member=0,-0.630631
gen=0_member=1,0.487512
gen=0_member=2,-0.3169
gen=0_member=3,-0.49045
gen=0_member=4,-0.401183
gen=0_member=5,-0.910333
gen=0_member=6,-0.9313
gen=0_member=7,-0.381392
gen=0_member=8,-0.485129
gen=0_member=9,-0.796726
gen=0_member=10,-0.066634
gen=0_member=11,-0.920216
gen=0_member=12,-0.529485
gen=0_member=13,0.285531
gen=0_member=14,-1.24101
gen=0_member=15,-0.91502
gen=0_member=16,0.381856
gen=0_member=17,0.0369202
gen=0_member=18,-1.09763
gen=0_member=19,-0.726562
gen=0_member=20,-0.529419
gen=0_member=21,-0.559419
gen=0_member=22,-0.311797
gen=0_member=23,0.124718
gen=0_member=24,-0.670895
gen=0_member=25,-1.01938
gen=0_member=26,-0.272159
gen=0_member=27,-0.564398
gen=0_member=28,-0.668575
gen=0_member=29,-0.63997
gen=0_member=30,-0.160079
gen=0_member=31,-0.484659
gen=0_member=32,-0.617127
gen=0_member=33,-0.27591
gen=0_member=34,-1.03278
gen=0_member=35,-1.01916
gen=0_member=36,-0.979352
gen=0_member=37,-0.287745
gen=0_member=38,-0.255419
gen=0_member=39,-0.864391
gen=0_member=40,-1.07218
gen=0_member=41,-0.333648
gen=0_member=42,-0.395701
gen=0_member=43,-0.373069
gen=0_member=44,-0.458295
gen=0_member=45,-0.470156
gen=0_member=46,-0.534484
gen=0_member=47,-0.61453
gen=0_member=48,-0.871612
gen=0_member=49,-0.950326
gen=0_member=50,-0.795776
gen=0_member=51,-0.651501
gen=0_member=52,-0.183312
gen=0_member=53,-1.14197
gen=0_member=54,-0.334306
gen=0_member=55,-0.109776
gen=0_member=56,-0.802498
gen=0_member=57,-1.01047
gen=0_member=58,-0.915469
gen=0_member=59,-0.697053
gen=0_member=60,-0.0406386
gen=0_member=61,-1.00471
gen=0_member=62,-0.244943
gen=0_member=63,-1.05414
gen=0_member=64,-0.617315
gen=0_member=65,-0.363854
gen=0_member=66,-0.348438
gen=0_member=67,-0.409238
gen=0_member=68,-0.874174
gen=0_member=69,-1.06965
gen=0_member=70,-0.362804
gen=0_member=71,-0.396912
gen=0_member=72,-1.05931
gen=0_member=73,-0.179923
gen=0_member=74,-1.22354
gen=0_member=75,-0.972795
gen=0_member=76,-0.736394
gen=0_member=77,-1.10569
gen=0_member=78,-0.906962
gen=0_member=79,-0.0176429
gen=0_member=80,-0.473834
gen=0_member=81,-0.399309
gen=0_member=82,-1.12276
gen=0_member=83,-0.630464
gen=0_member=84,-0.607067
gen=0_member=85,-0.770213
gen=0_member=86,-0.405124
gen=0_member=87,-0.0959631
gen=0_member=88,-0.114217
gen=0_member=89,-0.864173
gen=0_member=90,-0.381832
gen=0_member=91,-1.17556
gen=0_member=92,-0.358501
gen=0_member=93,-1.06074
gen=0_member=94,-0.385078
gen=0_member=95,-0.402459
gen=0_member=96,-0.376032
gen=0_member=97,-0.603034
gen=0_member=98,-0.587679
gen=0_member=99,-0.100584
