generation,member,sim,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,-0.630631,42,-999,4089.49,4089.49,1,-999
0,gen=0_member=1,0.487512,100,-999,0.386384,0.386384,1,-999
0,gen=0_member=2,-0.3169,79,-999,1869.49,1869.49,1,-999
0,gen=0_member=3,-0.49045,55,-999,3465.48,3465.48,1,-999
0,gen=0_member=4,-0.401183,64,-999,2934.5,2934.5,1,-999
0,gen=0_member=5,-0.910333,25,-999,4650.49,4650.49,1,-999
0,gen=0_member=6,-0.9313,21,-999,4740.49,4740.49,1,-999
0,gen=0_member=7,-0.381392,70,-999,2535.5,2535.5,1,-999
0,gen=0_member=8,-0.485129,56,-999,3410.48,3410.48,1,-999
0,gen=0_member=9,-0.796726,32,-999,4454.48,4454.48,1,-999
0,gen=0_member=10,-0.066634,93,-999,672.473,672.473,1,-999
0,gen=0_member=11,-0.920216,22,-999,4719.49,4719.49,1,-999
0,gen=0_member=12,-0.529485,53,-999,3572.49,3572.49,1,-999
0,gen=0_member=13,0.285531,98,-999,197.419,197.419,1,-999
0,gen=0_member=14,-1.24101,1,-999,4950.46,4950.46,1,-999
0,gen=0_member=15,-0.91502,24,-999,4674.49,4674.49,1,-999
0,gen=0_member=16,0.381856,99,-999,99.4028,99.4028,1,-999
0,gen=0_member=17,0.0369202,96,-999,390.455,390.455,1,-999
0,gen=0_member=18,-1.09763,7,-999,4929.48,4929.48,1,-999
0,gen=0_member=19,-0.726562,36,-999,4320.48,4320.48,1,-999
0,gen=0_member=20,-0.529419,54,-999,3519.49,3519.49,1,-999
0,gen=0_member=21,-0.559419,51,-999,3675.49,3675.49,1,-999
0,gen=0_member=22,-0.311797,80,-999,1790.49,1790.49,1,-999
0,gen=0_member=23,0.124718,97,-999,294.447,294.447,1,-999
0,gen=0_member=24,-0.670895,38,-999,4247.49,4247.49,1,-999
0,gen=0_member=25,-1.01938,14,-999,4859.49,4859.49,1,-999
0,gen=0_member=26,-0.272159,83,-999,1547.48,1547.48,1,-999
0,gen=0_member=27,-0.564398,50,-999,3725.49,3725.49,1,-999
0,gen=0_member=28,-0.668575,39,-999,4209.49,4209.49,1,-999
0,gen=0_member=29,-0.63997,41,-999,4130.49,4130.49,1,-999
0,gen=0_member=30,-0.160079,88,-999,1122.48,1122.48,1,-999
0,gen=0_member=31,-0.484659,57,-999,3354.48,3354.48,1,-999
0,gen=0_member=32,-0.617127,45,-999,3960.49,3960.49,1,-999
0,gen=0_member=33,-0.27591,82,-999,1629.48,1629.48,1,-999
0,gen=0_member=34,-1.03278,13,-999,4872.49,4872.49,1,-999
0,gen=0_member=35,-1.01916,15,-999,4845.49,4845.49,1,-999
0,gen=0_member=36,-0.979352,18,-999,4797.49,4797.49,1,-999
